bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptItemList,rewardsReceiptStatus,totalSpent,userId,id,rewardsReceiptItemList_barcode,rewardsReceiptItemList_description,rewardsReceiptItemList_finalPrice,rewardsReceiptItemList_itemPrice,rewardsReceiptItemList_needsFetchReview,rewardsReceiptItemList_partnerItemId,rewardsReceiptItemList_preventTargetGapPoints,rewardsReceiptItemList_quantityPurchased,rewardsReceiptItemList_userFlaggedBarcode,rewardsReceiptItemList_userFlaggedNewItem,rewardsReceiptItemList_userFlaggedPrice,rewardsReceiptItemList_userFlaggedQuantity,rewardsReceiptItemList_originalMetaBriteBarcode,rewardsReceiptItemList_originalMetaBriteDescription,rewardsReceiptItemList_pointsNotAwardedReason,rewardsReceiptItemList_pointsPayerId,rewardsReceiptItemList_rewardsGroup,rewardsReceiptItemList_rewardsProductPartnerId,rewardsReceiptItemList_brandCode,rewardsReceiptItemList_competitorRewardsGroup,rewardsReceiptItemList_discountedItemPrice,rewardsReceiptItemList_originalReceiptItemText,rewardsReceiptItemList_itemNumber,rewardsReceiptItemList_needsFetchReviewReason,rewardsReceiptItemList_originalMetaBriteQuantityPurchased,rewardsReceiptItemList_pointsEarned,rewardsReceiptItemList_targetPrice,rewardsReceiptItemList_competitiveProduct,rewardsReceiptItemList_userFlaggedDescription,rewardsReceiptItemList_deleted,rewardsReceiptItemList_priceAfterCoupon,rewardsReceiptItemList_metabriteCampaignId
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687493000,1609687493000,1609687493000.0,1609687493000,1609687493000.0,100.0,1609601093000.0,1.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1c50a720f052300056c,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687457000,1609687457000,1609688360000.0,1609688360000,1609687459000.0,750.0,1609545600000.0,5.0,"{'barcode': '013562300631', 'description': ""Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz"", 'discountedItemPrice': '50.00', 'finalPrice': '50.00', 'itemNumber': '013562300631', 'itemPrice': '50.00', 'needsFetchReview': True, 'needsFetchReviewReason': 'POINTS_GREATER_THAN_THRESHOLD', 'originalMetaBriteQuantityPurchased': 1, 'partnerItemId': '1', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5f3e4b03c9a25efd0ae', 'quantityPurchased': 5, 'rewardsGroup': ""ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE"", 'rewardsProductPartnerId': '5332f5f3e4b03c9a25efd0ae'}",FINISHED,50.0,5ff1e194b6a9d73a3a9f1052,5ff1e1a10a720f0523000568,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,50.00,True,1,,5.0,,,,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,,,50.00,,013562300631,POINTS_GREATER_THAN_THRESHOLD,1.0,,,,,,,
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687478000,1609687478000,,1609687478000,,8850.0,1612365878000.0,10.0,"{'barcode': '034100573065', 'description': 'MILLER LITE 24 PACK 12OZ CAN', 'finalPrice': '29', 'itemPrice': '29', 'partnerItemId': '1', 'pointsEarned': '870.0', 'pointsPayerId': '5332f709e4b03c9a25efd0f1', 'quantityPurchased': 1, 'rewardsGroup': 'MILLER LITE 24 PACK', 'rewardsProductPartnerId': '5332f709e4b03c9a25efd0f1', 'targetPrice': '77'}",FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,1,,1.0,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,870.0,77,,,,,
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1604089079000,1604089079000,,1609687494000,1604089080000.0,750.0,1604002679000.0,11.0,"{'barcode': '075925306254', 'competitiveProduct': True, 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1, 'rewardsGroup': 'KRAFT NATURAL CHEESE - SHREDDED', 'rewardsProductPartnerId': '559c2234e4b06aca36af13c6'}",REJECTED,1.0,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,075925306254,,1,1,,1,,1.0,,,,,,,,,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,,,,,,,,,,True,,,,
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687474000,1609687474000,1609687475000.0,1609687475000,1609687475000.0,300.0,1612365875000.0,1.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1b20a7214ada100055a,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,1609687529000,1609687529000,,1609687529000,,,,0.0,"{'needsFetchReview': True, 'needsFetchReviewReason': 'USER_FLAGGED', 'partnerItemId': '1', 'preventTargetGapPoints': True, 'userFlaggedBarcode': '4011', 'userFlaggedDescription': '', 'userFlaggedNewItem': True, 'userFlaggedPrice': '25.00', 'userFlaggedQuantity': 3}",FLAGGED,0.0,5ff1e1e9b6a9d73a3a9f10f6,5ff1e1e90a7214ada1000569,,,,,True,1,True,,4011,True,25.00,3.0,,,,,,,,,,,,USER_FLAGGED,,,,,,,,
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687519000,1609687519000,1609687520000.0,1609687525000,1609687519000.0,750.0,1609601119000.0,2.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'needsFetchReview': False, 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,11.0,5ff1e1dfcfcf6c399c274ab3,5ff1e1df0a7214ada1000564,4011,ITEM NOT FOUND,1,1,False,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687476000,1609687476000,,1609687477000,1609687476000.0,750.0,1609601076000.0,1.0,"{'barcode': '075925306254', 'competitiveProduct': True, 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1, 'rewardsGroup': 'SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER', 'rewardsProductPartnerId': '5e7cf838f221c312e698a628'}",FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,075925306254,,1,1,,1,,1.0,,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,True,,,,
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687531000,1609687531000,1609687532000.0,1609687536000,1609687532000.0,300.0,1609632000000.0,2.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '26.00', 'itemPrice': '26.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 2, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '26.00', 'userFlaggedQuantity': 2}",FINISHED,26.0,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000576,4011,ITEM NOT FOUND,26.00,26.00,False,1,True,2.0,4011,True,26.00,2.0,,,,,,,,,,,,,,,,,,,,
5.0,All-receipts receipt bonus,1609687496000,1609687496000,1609687502000.0,1609687502000,1609687496000.0,5.0,1609601096000.0,2.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1c80a720f052300056d,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1604089081000,1604089081000,1609688395000.0,1609688395000,1609688395000.0,389.2,1604002681000.0,6.0,"{'barcode': '075925306254', 'competitiveProduct': True, 'finalPrice': '1', 'itemPrice': '1', 'needsFetchReview': False, 'partnerItemId': '1', 'quantityPurchased': 1, 'rewardsGroup': 'SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER', 'rewardsProductPartnerId': '5e7cf838f221c312e698a628'}",FINISHED,14.0,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,075925306254,,1,1,False,1,,1.0,,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,True,,,,
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687446000,1609687446000,1609687450000.0,1609687450000,1609687450000.0,750.0,1609601046000.0,1.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.0,5ff1e196cfcf6c399c274a38,5ff1e1960a720f0523000567,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687532000,1609687532000,1609687532000.0,1609687537000,1609687532000.0,150.0,1609632000000.0,2.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '21.00', 'itemPrice': '21.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 2, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '21.00', 'userFlaggedQuantity': 2}",FINISHED,21.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ec0a7214ada100056c,4011,ITEM NOT FOUND,21.00,21.00,False,1,True,2.0,4011,True,21.00,2.0,,,,,,,,,,,,,,,,,,,,
40.0,COMPLETE_PARTNER_RECEIPT,1609687511000,1609687511000,1609687512000.0,1609687512000,1609687512000.0,185.0,1609601111000.0,2.0,"{'barcode': '041000168468', 'description': 'KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'pointsEarned': '10.0', 'pointsPayerId': '5332f5f6e4b03c9a25efd0b4', 'quantityPurchased': 1, 'rewardsGroup': 'KNORR SIDES', 'rewardsProductPartnerId': '5332f5f6e4b03c9a25efd0b4', 'targetPrice': '800'}",FINISHED,2.0,5ff1e194b6a9d73a3a9f1052,5ff1e1d70a720f0523000571,041000168468,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,1,,1,,1.0,,,,,,,,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,,,,,,,,10.0,800,,,,,
5.0,All-receipts receipt bonus,1609687494000,1609687494000,1609687499000.0,1609687499000,1609687494000.0,5.0,1609601094000.0,2.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1c60a7214ada100055e,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,All-receipts receipt bonus,1609687534000,1609687534000,1609687535000.0,1609687540000,1609687535000.0,5.0,1609632000000.0,5.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '27.00', 'itemPrice': '27.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 5, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '27.00', 'userFlaggedQuantity': 5}",FINISHED,27.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada1000570,4011,ITEM NOT FOUND,27.00,27.00,False,1,True,5.0,4011,True,27.00,5.0,,,,,,,,,,,,,,,,,,,,
5.0,All-receipts receipt bonus,1609687503000,1609687503000,1609687509000.0,1609687509000,1609687503000.0,5.0,1609601103000.0,2.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1cf0a720f0523000570,4011,ITEM NOT FOUND,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25.0,COMPLETE_NONPARTNER_RECEIPT,1609687521000,1609687521000,1609687521000.0,1609687526000,1609687521000.0,35.0,1609601121000.0,1.0,"{'barcode': '079400066619', 'competitiveProduct': True, 'description': 'SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612', 'finalPrice': '1', 'itemPrice': '1', 'needsFetchReview': False, 'originalMetaBriteBarcode': '080878042197', 'partnerItemId': '1', 'pointsEarned': '10.0', 'pointsPayerId': '5332f5f6e4b03c9a25efd0b4', 'preventTargetGapPoints': True, 'quantityPurchased': 1, 'rewardsGroup': 'SUAVE HAIR CARE', 'rewardsProductPartnerId': '5332f5f6e4b03c9a25efd0b4', 'targetPrice': '800', 'userFlaggedBarcode': '079400066619'}",FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1e10a720f0523000572,079400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,False,1,True,1.0,079400066619,,,,080878042197,,,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,5332f5f6e4b03c9a25efd0b4,,,,,,,,10.0,800,True,,,,
,,1609687508000,1609687508000,,1609687508000,,,1509321600000.0,3.0,"{'deleted': True, 'description': 'DELETED ITEM', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",REJECTED,3.0,5ff1e194b6a9d73a3a9f1052,5ff1e1d40a7214ada1000562,,DELETED ITEM,1,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,
5.0,All-receipts receipt bonus,1609687534000,1609687534000,1609687534000.0,1609687539000,1609687534000.0,5.0,1609632000000.0,4.0,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '27.00', 'itemPrice': '27.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 4, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '27.00', 'userFlaggedQuantity': 4}",FINISHED,27.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a720f0523000578,4011,ITEM NOT FOUND,27.00,27.00,False,1,True,4.0,4011,True,27.00,4.0,,,,,,,,,,,,,,,,,,,,
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609789699000,1609789699000,1609789700000.0,1609789700000,1609789700000.0,650.0,1608422400000.0,10.0,"{'barcode': '087684001127', 'description': ""CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct"", 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'pointsEarned': '5.0', 'pointsPayerId': '559c2234e4b06aca36af13c6', 'quantityPurchased': 1, 'rewardsGroup': ""CAPRI SUN ROARIN' WATERS BEVERAGE DRINK"", 'rewardsProductPartnerId': '559c2234e4b06aca36af13c6', 'targetPrice': '800'}",FINISHED,10.0,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,,1,,1.0,,,,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,5.0,800,,,,,
5.0,All-receipts receipt bonus,1609788876000,1609788876000,1609788876000.0,1609788876000,1609788876000.0,55.0,1609788876000.0,1.0,"{'barcode': '071040063102', 'competitiveProduct': True, 'finalPrice': '0.99', 'itemPrice': '0.99', 'partnerItemId': '1', 'quantityPurchased': 1, 'rewardsGroup': 'SARGENTO STRING OR STICK CHEESE', 'rewardsProductPartnerId': '5e7cf838f221c312e698a628'}",FINISHED,0.99,5ff36d0362fde912123a5535,5ff36dcc0a720f05230005b1,071040063102,,0.99,0.99,,1,,1.0,,,,,,,,,SARGENTO STRING OR STICK CHEESE,5e7cf838f221c312e698a628,,,,,,,,,,True,,,,
,,1609788533000,1609788533000,1609788534000.0,1609788534000,1609788534000.0,500.0,1609702133000.0,9.0,"{'barcode': '029000079236', 'description': 'PLANTERSe Cashew Halves & Pieces - 46 oz.', 'finalPrice': '9.99', 'itemPrice': '9.99', 'partnerItemId': '1', 'pointsEarned': '50.0', 'pointsPayerId': '559c2234e4b06aca36af13c6', 'quantityPurchased': 1, 'rewardsGroup': 'PLANTERS CASHEWS', 'rewardsProductPartnerId': '559c2234e4b06aca36af13c6', 'targetPrice': '800'}",FINISHED,89.91,5ff36be7135e7011bcb856d3,5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,,1,,1.0,,,,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,50.0,800,,,,,
